frequency	smiles	generic_name
33	C1CC1	C3H6
3	C1OC1	C2H4O
2	C1CCC1	C4H8
2	C1CNC1	C3H7N
2	C1CC=CC1	C5H8
16	C1CCCC1	C5H10
1	C=C1SCS1	C3H4S2
22	c1cscc1	C4H4S
4	C1OCOC1	C3H6O2
18	c1cocc1	C4H4O
1	C1OCC=C1	C4H6O
49	C1COCC1	C4H8O
2	C1OCSC1	C3H6OS
1	c1n[nH]nn1	CH2N4
17	c1nnn[nH]1	CH2N4
1	c1nnn[n-]1	CHN4
8	c1c[nH]nc1	C3H4N2
41	c1cnc[nH]1	C3H4N2
13	C1NC=NC1	C3H6N2
1	c1nsnc1	C2H2N2S
3	c1nncs1	C2H2N2S
1	c1nocn1	C2H2N2O
1	c1nnco1	C2H2N2O
6	c1c[nH]cc1	C4H5N
34	C1CNCC1	C4H9N
4	C1C[NH2+]CC1	C4H10N
37	c1cscn1	C3H3NS
2	C1N=CSC1	C3H5NS
2	C1NCSC1	C3H7NS
1	c1csc[nH+]1	C3H4NS
2	O=C1NCC1	C3H5NO
10	c1conc1	C3H3NO
1	c1cocn1	C3H3NO
1	c1nnc[nH]1	C2H3N3
11	c1ncn[nH]1	C2H3N3
2	c1cnn[nH]1	C2H3N3
1136	c1ccccc1	C6H6
4	C1CC=CCC1	C6H10
62	C1CCCCC1	C6H12
1	C=C1CCCC1	C6H10
1	S=C1SSC=C1	C3H2S3
8	O=C1OCC=C1	C4H4O2
1	O=C1OCCC1	C4H6O2
2	O=C1CCCC1	C5H8O
4	C1COC=CC1	C5H8O
104	C1CCOCC1	C5H10O
1	O=C1SCCC1	C4H6OS
2	O=C1OC=CO1	C3H2O3
3	c1cnncc1	C4H4N2
7	c1cnccn1	C4H4N2
87	C1NCCNC1	C4H10N2
34	c1cncnc1	C4H4N2
5	C1CN=CNC1	C4H8N2
1	C1CNCNC1	C4H10N2
1	c1cn[nH+]cc1	C4H5N2
1	S=C1NC=CN1	C3H4N2S
2	O=C1ONC=N1	C2H2N2O2
9	O=C1NNC=C1	C3H4N2O
1	O=C1NN=CC1	C3H4N2O
1	O=C1N=CNC1	C3H4N2O
5	O=C1NCCN1	C3H6N2O
83	c1ccncc1	C5H5N
15	C1C=CNC=C1	C5H7N
2	C1C=CCNC1	C5H9N
75	C1CCNCC1	C5H11N
6	c1cc[nH+]cc1	C5H6N
5	C1CC[NH2+]CC1	C5H12N
1	C1CSC=NC1	C4H7NS
2	O=C1NOCC1	C3H5NO2
6	O=C1OCCN1	C3H5NO2
1	O=C1NCC=C1	C4H5NO
8	O=C1NCCC1	C4H7NO
24	C1NCCOC1	C4H9NO
3	C1[NH2+]CCOC1	C4H10NO
1	N=C1NNC=C1	C3H5N3
1	c1cnncn1	C3H3N3
3	c1ncncn1	C3H3N3
1	N=C1SC=NN1	C2H3N3S
4	O=C1NN=CN1	C2H3N3O
1	O=C1N=CNN1	C2H3N3O
