Name,Scaffold_SMILES,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeteroatoms,NumValenceElectrons,NumRadicalElectrons,QED
Abacavir,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,241.298,2.292,1.0,5.0,55.63,3.0,2.0,2.0,1.0,5.0,92.0,0.0,0.838
Acamprosate,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Acebutolol,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Acenocoumarol,O=c1oc2ccccc2cc1Cc1ccccc1,236.27,3.384,0.0,2.0,30.21,2.0,3.0,0.0,0.0,2.0,88.0,0.0,0.638
Acepromazine,c1ccc2c(c1)Nc1ccccc1S2,199.278,3.895,1.0,2.0,12.03,0.0,2.0,1.0,0.0,2.0,68.0,0.0,0.589
Aceprometazine,c1ccc2c(c1)Nc1ccccc1S2,199.278,3.895,1.0,2.0,12.03,0.0,2.0,1.0,0.0,2.0,68.0,0.0,0.589
Acetaminophen,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Acetazolamide,c1nncs1,86.119,0.538,0.0,3.0,25.78,0.0,1.0,0.0,0.0,3.0,26.0,0.0,0.46
Acetic acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Acetohexamide,O=C(NC1CCCCC1)NS(=O)(=O)c1ccccc1,282.365,2.007,2.0,3.0,75.27,3.0,1.0,1.0,1.0,6.0,104.0,0.0,0.89
Acetohydroxamic Acid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Acetophenazine,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,325.481,3.585,1.0,4.0,18.51,4.0,2.0,2.0,1.0,4.0,120.0,0.0,0.925
Acetylcysteine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339
Acetylsalicylic acid,c1ccccc1,78.114,1.687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.443
Acyclovir,O=c1nc[nH]c2[nH]cnc12,136.114,-0.354,2.0,3.0,74.43,0.0,2.0,0.0,0.0,5.0,50.0,0.0,0.519
Adenine,c1ncc2[nH]cnc2n1,120.115,0.353,1.0,3.0,54.46,0.0,2.0,0.0,0.0,4.0,44.0,0.0,0.545
Adenosine,c1ncc2ncn(C3CCCO3)c2n1,190.206,1.135,0.0,5.0,52.83,1.0,2.0,1.0,1.0,5.0,72.0,0.0,0.676
Adinazolam,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,260.3,2.618,0.0,4.0,43.07,1.0,3.0,1.0,0.0,4.0,96.0,0.0,0.675
