SMILES,TARGET,1d_mr
CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(cn4)C#N,4.7,"[464.87300000000016, 2.5531800000000002, 1, 10, 140.73000000000002, 8, 4, 0, 0, 12, 166, 0, 0.4159359067517256]"
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N)ncc2F,4.7,"[354.3890000000001, 3.2110200000000004, 2, 6, 98.72, 5, 3, 0, 0, 8, 134, 0, 0.7328907139599549]"
CC(=O)N[C@H]1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl,5.58,"[475.8030000000001, 7.114100000000005, 1, 3, 51.22, 3, 3, 1, 0, 7, 160, 0, 0.4387801152629379]"
C[n+]1c(cccc1C#CCOc2ccccc2)C#CCOc3ccccc3,4.85,"[354.4290000000001, 3.3721000000000023, 0, 2, 22.34, 4, 3, 0, 0, 3, 132, 0, 0.5294358531252104]"
CN1CCC[C@@H](C1)c2nc3ccccc3n2Cc4ccccn4,5.0,"[306.413, 3.288800000000002, 0, 4, 33.95, 3, 3, 1, 1, 4, 118, 0, 0.7444165772910369]"
N(N=Nc1ccccc1)c2ccccc2,4.4,"[197.24099999999999, 3.7974000000000023, 1, 2, 36.75, 3, 2, 0, 0, 3, 74, 0, 0.5893339610285243]"
CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccccn4,4.0,"[439.8630000000001, 2.6815000000000007, 1, 9, 116.94000000000001, 8, 4, 0, 0, 11, 158, 0, 0.4449934979271311]"
Fc1ccccc1C(=O)Nc2ccc(cc2)c3oc(NCCCCN4CCCCC4)nn3,4.9,"[437.51900000000035, 4.806000000000004, 2, 6, 83.29, 9, 3, 1, 1, 8, 168, 0, 0.4677946295600964]"
NC1=N[C@@]2(CO1)c3cc(ccc3Oc4cnc(cc24)N5CC[C@H](F)C5)c6cccnc6F,5.0,"[435.43400000000014, 3.525100000000003, 1, 7, 85.86, 2, 3, 3, 1, 9, 162, 0, 0.620213328275974]"
O[C@@]1(CC[C@H](CC1)N2CC[C@H](C2)NC(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccncc4,7.52,"[490.5260000000001, 2.8511000000000015, 3, 5, 94.55999999999999, 6, 2, 2, 2, 10, 188, 0, 0.5791334483338058]"
CC(C)c1ncc(s1)[C@@H]2CC[C@@H](CC2)N3CC(C3)NC(=O)CNc4nn(C)c5ccc(cc45)C(F)(F)F,4.77,"[534.6520000000003, 5.110700000000004, 2, 7, 75.08000000000001, 7, 3, 2, 2, 11, 200, 0, 0.4407386082629238]"
C[C@@H](NC(=O)c1oc(cc1)c2ccc(Cl)cc2)C(=O)N3CCN(CCCOc4ccc(cc4)C(=O)C5CC5)CC3,6.1,"[564.0820000000001, 4.924300000000005, 1, 6, 92.09, 11, 3, 2, 2, 9, 210, 0, 0.26280437073638235]"
FC(F)(F)Oc1ccc(OC2CC2)c(CNC3CCC4NC3(CC4C5=NC(=O)NN5)c6ccccc6)c1,5.2,"[515.5360000000003, 3.8310000000000004, 4, 6, 104.06, 8, 3, 3, 3, 11, 196, 0, 0.36370013349978453]"
Cc1cccc(C)c1C(=O)N2CCC(CC2)N3CCC(CC3)N(Cc4ccccc4)C(=O)C5CCC5,5.47,"[487.68800000000033, 5.201340000000006, 0, 3, 43.86000000000001, 6, 2, 3, 3, 5, 192, 0, 0.5624740581290664]"
s1cccc1C(=N)Nc(c2)ccc(c23)N(CCC3)CC[C@@H]4CCCN4C,5.3,"[368.55000000000024, 4.422470000000003, 2, 4, 42.36000000000001, 5, 2, 2, 1, 5, 138, 0, 0.6062314490360668]"
FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3F,5.19,"[350.38399999999996, 3.616100000000002, 1, 3, 24.5, 6, 2, 1, 1, 6, 134, 0, 0.8612748109242032]"
O=C(Cc1ccc(cc1)n2cnnn2)N3CCN(CCc4ccc5C(=O)OCCc5c4)CC3,4.37,"[446.51100000000037, 1.3045999999999995, 0, 8, 93.45, 6, 3, 2, 1, 9, 170, 0, 0.527145068352511]"
Clc1ccc(Cl)c(NC(=O)NS(=O)(=O)c2ccc(OCCN3CCCCC3)cc2)c1,4.0,"[472.3940000000004, 4.368500000000004, 2, 5, 87.74000000000001, 7, 2, 1, 1, 10, 162, 0, 0.6251800657183216]"
CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncc(c5)C#CC,5.55,"[476.5550000000002, 4.759920000000004, 1, 5, 73.27, 4, 4, 1, 0, 6, 178, 0, 0.43182910264536145]"
